target,ref,is_self_pair,rank,signal_type,counter_trade,use_excess_return,threshold_width,hold_days,start_days,sma_period,trade_count,average_pct,std_pct,t_value,win_rate,positive_year_ratio,worst_year_profit,neighbor_expected_count,neighbor_valid_count,neighbor_coverage_ratio,neighbor_mean_t,neighbor_worst_t,neighbor_positive_ratio_expected,neighbor_t_ge_1_ratio_expected,signal_type_support_t_ge_1,signal_type_support_t_ge_2,eligible_task_count,eligible_task_positive_ratio,eligible_task_t_ge_1_ratio,eligible_mean_t,eligible_median_t
US30_Futures,CAD_JPY,False,10375,sma,False,False,1.000000000,20,1,100,190,0.260542490,4.702417877,0.763719960,48.947368421,57.142857143,-3032.000000000,2,2,1.000000000,0.317640373,0.044321711,1.000000000,0.000000000,0,0,36,0.472222222,0.000000000,-0.114535931,-0.130861120
US30_Futures,CBOE_Volatility_Index,False,4394,bb,False,False,1.500000000,20,1,15,201,0.369213343,4.186986617,1.250183734,52.736318408,71.428571429,-726.000000000,8,8,1.000000000,0.316184454,-0.455929888,0.750000000,0.125000000,1,0,40,0.350000000,0.025000000,-0.125493818,-0.138411526
US30_Futures,CHF_JPY,False,2599,bb,False,False,1.500000000,20,1,15,210,0.452585235,4.336696782,1.512345337,52.380952381,71.428571429,-1396.000000000,8,8,1.000000000,0.631123561,-0.439155381,0.875000000,0.250000000,2,0,38,0.447368421,0.157894737,-0.115768666,-0.111439260
US30_Futures,COPPER_USD,False,5957,change,False,False,1.000000000,20,1,50,214,0.301823737,4.053327288,1.089302767,53.738317757,50.000000000,-2192.000000000,2,2,1.000000000,0.244965471,0.144360342,1.000000000,0.000000000,2,0,36,0.361111111,0.055555556,-0.120754778,-0.120548943
US30_Futures,EUR_AUD,False,245,bb,False,False,1.500000000,20,1,15,199,0.767101701,4.401047549,2.458801239,54.271356784,78.571428571,-613.000000000,8,8,1.000000000,1.256150876,-0.230118106,0.750000000,0.625000000,5,2,36,0.500000000,0.277777778,-0.114026630,-0.104057204
US30_Futures,EUR_CHF,False,4850,bb,True,False,1.000000000,20,1,10,264,0.329468496,4.463120857,1.199436357,52.651515152,71.428571429,-2183.000000000,3,3,1.000000000,0.279816319,0.099521401,1.000000000,0.000000000,1,0,16,0.500000000,0.062500000,-0.117587516,-0.104948497
US30_Futures,EUR_GBP,False,276,sma,False,False,1.000000000,20,1,15,153,0.888817556,4.564856925,2.408414148,54.901960784,57.142857143,-834.000000000,2,2,1.000000000,0.829703378,0.021195692,1.000000000,0.500000000,5,3,36,0.472222222,0.250000000,-0.107396555,-0.104748564
US30_Futures,EUR_JPY,False,8047,bb,False,False,1.500000000,20,1,10,223,0.256039588,4.156997109,0.919771246,48.430493274,71.428571429,-1299.000000000,5,5,1.000000000,0.545201109,-0.154781504,0.800000000,0.000000000,0,0,40,0.450000000,0.000000000,-0.112462467,-0.094632870
US30_Futures,EUR_NZD,False,3958,stoch,False,False,30.000000000,20,1,15,222,0.386295017,4.424884496,1.300749460,53.603603604,64.285714286,-1965.300000000,2,2,1.000000000,0.267367447,-0.261785688,0.500000000,0.000000000,4,0,38,0.500000000,0.105263158,-0.113402920,-0.103819591
US30_Futures,EUR_USD,False,3256,bb,False,False,1.000000000,20,1,50,172,0.455320575,4.252441322,1.404245914,52.906976744,64.285714286,-1375.000000000,5,5,1.000000000,0.871805555,-0.002035373,0.800000000,0.600000000,2,0,38,0.447368421,0.052631579,-0.111047131,-0.113583798
